protonated_Standardized_SMILES,median pMolar total plasma concentration,median pMolar unbound plasma concentration
C#CC(O)(C=CCl)CC,4.257078305966568,
C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,6.227192306514037,
C#CC1(OC(N)=O)CCCCC1,4.22326224687663,
C(=Cc1ccccc1)C[NH+]1CC[NH+](C(c2ccccc2)c2ccccc2)CC1,6.047947122612806,
C1CCC(C(CC2CCCC[NH2+]2)C2CCCCC2)CC1,5.665111737075051,6.127048813198404
C1CC[NH+]2CC3CC(C[NH+]4CCCCC34)C2C1,5.369939079029239,
C1C[NH2+]CC[NH2+]1,5.935204867426581,
C=C(CC)C(=O)c1ccc(OCC(=O)[O-])c(Cl)c1Cl,6.481643246275584,
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,4.948847477552619,
C=C1C(CO)C(O)CC1n1cnc2c(=O)[nH]c(=N)[nH]c21,7.522878745280337,
C=C1CC2CCC34CC5OC6C(OC7CCC(CC(=O)CC8C(CC9OC(CCC1O2)CC(C)C9=C)OC(CC(O)C[NH3+])C8OC)OC7C6O3)C5O4,6.2158863435496565,6.582417887970069
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)(C)O,6.903795142741036,
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,6.630823227334441,
C=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CC[NH+]3CC2CC2)C1O5,6.53076301875856,6.717849662115704
C=CC([NH3+])CCC(=O)[O-],3.45791552256978,
C=CC1=C(C(=O)[O-])[NH+]2C(=O)C(=NC(=O)C([NH2+]OCC(=O)[O-])c3csc(=N)[nH]3)C2SC1,4.957568979352396,5.466207285518124
C=CC1=C(C(=O)[O-])[NH+]2C(=O)C(NC(=O)C(=NO)c3csc(=N)[nH]3)C2SC1,4.994998640442741,
C=CC1C[NH+]2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,4.739073597784131,5.339372812911388
C=CCC1(C(C)C#CCC)C(=O)[N-]C(=O)N(C)C1=O,4.377422162283197,4.94605839812421
C=CCC1(C(C)CCC)C(=O)[N-]C(=O)[N-]C1=O,4.678135812933035,
C=CCC1(C(C)CCC)C(=O)[N-]C(=S)[N-]C1=O,4.706461737631355,
C=CCC1(CC(C)C)C(=O)[N-]C(=O)[N-]C1=O,4.651781813480397,
C=CCC1=CC(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)[NH+]3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC,7.604242257800126,9.604242257800127
C=CCOc1ccccc1OCC(O)C[NH2+]C(C)C,5.423819091965404,6.145065491012575
C=CC[N+]1(C2CC3C4CCC5CC(O)C([NH+]6CCOCC6)CC5(C)C4CCC3(C)C2OC(C)=O)CCCC1,4.493654835176735,4.761261075353767
C=CC[N+]12CCC34c5ccccc5[NH+]5C=C6C7CC8C9(CC[N+]8(CC=C)CC7=CCO)c7ccccc7[NH+](C=C(C(CC31)C(=CCO)C2)C54)C69,5.346945974788147,
C=CC[NH+]1CC(C(=O)[NH+](CCC[NH+](C)C)C(=O)NCC)CC2c3cccc4[nH]cc(c34)CC21,3.496410674322667,
C=CC[NH+]1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5,7.037930889644752,7.305537129821783
CC#CC1(O)CCC2C3=C(C4=C(CC3)CC(=O)CC4)C(c3ccc(N(C)C)cc3)CC21C,5.235124264019461,6.93409426835548
CC#CCC(C)C(O)C=CC1C(O)CC2CC(=CCCCC(=O)[O-])CC21,9.556893221884698,9.954833230556735
CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,5.849210509072009,7.548180513408023
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,4.643917742904255,6.467826483848573
CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,5.143498815653154,5.265551864023966
CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCC[NH3+],4.572631551397107,
CC(=O)N=c1[nH]nc(S(N)(=O)=O)s1,4.04581177397827,5.443751782650308
CC(=O)NCC1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,4.360763379743137,4.521914289005882
CC(=O)NCCCS(=O)(=O)[O-],5.413084120351841,5.413084120351841
CC(=O)Nc1ccc(O)cc1,3.93146361688317,4.134334629086617
CC(=O)Nc1ccc(OCC(O)C[NH2+]C(C)C)cc1,4.726466391072991,4.881368351058734
CC(=O)OC1=C(C(CCC=C(C)C)C(=O)[O-])C2CC(O)C3C4(C)CCC(O)C(C)C4CCC3(C)C2(C)C1,4.236134016815431,5.537164012479412
CC(=O)OC1=C2C(C)C(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)CC(O)(C(OC(=O)c3ccccc3)C3C4(OC(C)=O)COC4CC(O)C3(C)C1=O)C2(C)C,5.098908272753276,6.121184667464428
CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1[N+]1(C)CCCCC1,5.979912410334717,7.025669900895392
CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1[NH+]1CCCCC1,6.047539647860843,6.649599639188805
CC(=O)OC=C1CSC2C(NC(=O)Cc3cccs3)C(=O)[NH+]2C1C(=O)[O-],4.1210671674677295,4.65568431601931
CC(=O)OCC(CCn1cnc2c[nH]c(=N)nc21)COC(C)=O,5.2081117129389565,
CC(=O)Oc1c(C)cc(OCC(O)C[NH2+]C(C)C)c(C)c1C,6.587444358811732,
CC(=O)Oc1ccccc1C(=O)[O-],4.413673568581138,4.581164655874902
CC(=O)SC1C=C2CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,5.920728411304178,
CC(=O)[NH+]1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,4.94730298904985,6.94730298904985
