name,source,assaytype,SHAP,description,value,pred,influence,smiles,SHAP contribution to Toxicity,compound
5,Animal hepatotoxicity A,Animal hepatotoxicity,0.0029455905875080206,"Rat, chronic oral administration, Hepatic histopathologic effects, ToxRefDB",0.4741232476587735,False,,CCCCOCCO,Positive,2-Butoxyethanol
7,Preclinical hepatotoxicity,Animal hepatotoxicity,0.020984881064134504,"Preclinical hepatotoxicity data from PharmaPendium, Leadscopre, and internal repository with 14- to 28-day rat study data",0.9918716639667112,True,,CCCCOCCO,Positive,2-Butoxyethanol
8,Diverse DILI A,Heterogenous Data ,0.005412817812757863,Large-scale and diverse ddrug induced liver injury dataset,0.571554785340738,True,,CCCCOCCO,Positive,2-Butoxyethanol
11,Diverse DILI C,Heterogenous Data ,0.00423497420720423,"Transient liver function abnormalities, adverse hepatic effects",0.683298994913842,True,,CCCCOCCO,Positive,2-Butoxyethanol
3,Human hepatotoxicity,Human hepatotoxicity,-0.00670235376123259,"Human hepatotoxicity, hepatobiallry",0.19969483555953382,False,,CCCCOCCO,Negative,2-Butoxyethanol
6,Animal hepatotoxicity B,Animal hepatotoxicity,-0.0019563914797840576,"Hepatocellular hypertrophy, rats, ORAD, HESS",0.3132870148969852,False,,CCCCOCCO,Negative,2-Butoxyethanol
14,BESP,Mechanisms of Liver Toxicity,-0.0002160930504220524,BESP Bile Salt Export Pump Inhibition,0.1722777777777782,False,,CCCCOCCO,Negative,2-Butoxyethanol
15,Mitotox,Mechanisms of Liver Toxicity,-0.008083574230804177,Mitotox ,0.0012598421350890237,False,,CCCCOCCO,Negative,2-Butoxyethanol
16,Reactive Metabolite,Mechanisms of Liver Toxicity,-0.0007185873079155196,Reactive Metabolite Formation,0.5618345316633429,True,,CCCCOCCO,Negative,2-Butoxyethanol
14,BESP,Mechanisms of Liver Toxicity,0.00020764967398943443,BESP Bile Salt Export Pump Inhibition,0.752680555555556,True,,CC(C=CC=C(C)C=CC1C(C)C(=O)C(=O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)C(=O)C(=O)CC1(C)C,Positive,Astaxanthin
16,Reactive Metabolite,Mechanisms of Liver Toxicity,0.0003698152899721268,Reactive Metabolite Formation,0.10831060192530778,False,,CC(C=CC=C(C)C=CC1C(C)C(=O)C(=O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)C(=O)C(=O)CC1(C)C,Positive,Astaxanthin
3,Human hepatotoxicity,Human hepatotoxicity,-0.0035358304302279633,"Human hepatotoxicity, hepatobiallry",0.41564338815517243,False,,CC(C=CC=C(C)C=CC1C(C)C(=O)C(=O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)C(=O)C(=O)CC1(C)C,Negative,Astaxanthin
