name,source,assaytype,SHAP,description,value,pred,influence,smiles,SHAP contribution to Toxicity,compound
5,Animal hepatotoxicity A,Animal hepatotoxicity,0.0020673895708919147,"Rat, chronic oral administration, Hepatic histopathologic effects, ToxRefDB",0.44986485886671007,False,,COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(=O)O)c(C)c1C,Positive,Acitretin
6,Animal hepatotoxicity B,Animal hepatotoxicity,0.001449547656984222,"Hepatocellular hypertrophy, rats, ORAD, HESS",0.6655449265773552,True,,COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(=O)O)c(C)c1C,Positive,Acitretin
7,Preclinical hepatotoxicity,Animal hepatotoxicity,0.015048817675032944,"Preclinical hepatotoxicity data from PharmaPendium, Leadscopre, and internal repository with 14- to 28-day rat study data",0.8422132034632033,True,,COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(=O)O)c(C)c1C,Positive,Acitretin
14,BESP,Mechanisms of Liver Toxicity,0.00019506481182621953,BESP Bile Salt Export Pump Inhibition,0.7270515873015876,True,,COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(=O)O)c(C)c1C,Positive,Acitretin
15,Mitotox,Mechanisms of Liver Toxicity,0.009352478150420413,Mitotox ,0.3571608991207944,False,,COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(=O)O)c(C)c1C,Positive,Acitretin
3,Human hepatotoxicity,Human hepatotoxicity,-0.0028036459140283743,"Human hepatotoxicity, hepatobiallry",0.3976580319038685,False,,COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(=O)O)c(C)c1C,Negative,Acitretin
8,Diverse DILI A,Heterogenous Data ,-0.00448802996960405,Large-scale and diverse ddrug induced liver injury dataset,0.2617370688729755,False,,COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(=O)O)c(C)c1C,Negative,Acitretin
11,Diverse DILI C,Heterogenous Data ,-0.004658032442001282,"Transient liver function abnormalities, adverse hepatic effects",0.29159810450526,False,,COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(=O)O)c(C)c1C,Negative,Acitretin
16,Reactive Metabolite,Mechanisms of Liver Toxicity,-0.00018182311682194457,Reactive Metabolite Formation,0.17694868554726711,False,,COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(=O)O)c(C)c1C,Negative,Acitretin
7,Preclinical hepatotoxicity,Animal hepatotoxicity,0.002769533854777371,"Preclinical hepatotoxicity data from PharmaPendium, Leadscopre, and internal repository with 14- to 28-day rat study data",0.6305839947089956,True,,COC1=C2C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c3ccccc3)CC(O)(C(OC(=O)c3ccccc3)C3C4(OC(C)=O)COC4CC(OC)C3(C)C1=O)C2(C)C,Positive,Cabazitaxel
11,Diverse DILI C,Heterogenous Data ,0.0017328675947135884,"Transient liver function abnormalities, adverse hepatic effects",0.41383481058928223,False,,COC1=C2C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c3ccccc3)CC(O)(C(OC(=O)c3ccccc3)C3C4(OC(C)=O)COC4CC(OC)C3(C)C1=O)C2(C)C,Positive,Cabazitaxel
14,BESP,Mechanisms of Liver Toxicity,0.000493013638644671,BESP Bile Salt Export Pump Inhibition,0.611272486772487,True,,COC1=C2C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c3ccccc3)CC(O)(C(OC(=O)c3ccccc3)C3C4(OC(C)=O)COC4CC(OC)C3(C)C1=O)C2(C)C,Positive,Cabazitaxel
15,Mitotox,Mechanisms of Liver Toxicity,0.007065955488490801,Mitotox ,0.536850928447544,True,,COC1=C2C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c3ccccc3)CC(O)(C(OC(=O)c3ccccc3)C3C4(OC(C)=O)COC4CC(OC)C3(C)C1=O)C2(C)C,Positive,Cabazitaxel
16,Reactive Metabolite,Mechanisms of Liver Toxicity,0.0025144374708097844,Reactive Metabolite Formation,0.03842677668335564,False,,COC1=C2C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c3ccccc3)CC(O)(C(OC(=O)c3ccccc3)C3C4(OC(C)=O)COC4CC(OC)C3(C)C1=O)C2(C)C,Positive,Cabazitaxel
3,Human hepatotoxicity,Human hepatotoxicity,-0.004105506921621872,"Human hepatotoxicity, hepatobiallry",0.31031409181841085,False,,COC1=C2C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c3ccccc3)CC(O)(C(OC(=O)c3ccccc3)C3C4(OC(C)=O)COC4CC(OC)C3(C)C1=O)C2(C)C,Negative,Cabazitaxel
5,Animal hepatotoxicity A,Animal hepatotoxicity,-0.0016212368955170052,"Rat, chronic oral administration, Hepatic histopathologic effects, ToxRefDB",0.20722944261664428,False,,COC1=C2C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c3ccccc3)CC(O)(C(OC(=O)c3ccccc3)C3C4(OC(C)=O)COC4CC(OC)C3(C)C1=O)C2(C)C,Negative,Cabazitaxel
6,Animal hepatotoxicity B,Animal hepatotoxicity,-0.0002489314709839793,"Hepatocellular hypertrophy, rats, ORAD, HESS",0.10226549036423517,False,,COC1=C2C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c3ccccc3)CC(O)(C(OC(=O)c3ccccc3)C3C4(OC(C)=O)COC4CC(OC)C3(C)C1=O)C2(C)C,Negative,Cabazitaxel
8,Diverse DILI A,Heterogenous Data ,-0.0016203900388081568,Large-scale and diverse ddrug induced liver injury dataset,0.32201540561878256,False,,COC1=C2C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c3ccccc3)CC(O)(C(OC(=O)c3ccccc3)C3C4(OC(C)=O)COC4CC(OC)C3(C)C1=O)C2(C)C,Negative,Cabazitaxel
3,Human hepatotoxicity,Human hepatotoxicity,0.003434332176555178,"Human hepatotoxicity, hepatobiallry",0.6619465010883772,True,,COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1,Positive,Clopidogrel
6,Animal hepatotoxicity B,Animal hepatotoxicity,0.0011784784993567174,"Hepatocellular hypertrophy, rats, ORAD, HESS",0.6771779078001903,True,,COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1,Positive,Clopidogrel
7,Preclinical hepatotoxicity,Animal hepatotoxicity,0.012572812604450465,"Preclinical hepatotoxicity data from PharmaPendium, Leadscopre, and internal repository with 14- to 28-day rat study data",0.8459772877585381,True,,COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1,Positive,Clopidogrel
8,Diverse DILI A,Heterogenous Data ,0.0025376785194617508,Large-scale and diverse ddrug induced liver injury dataset,0.651533872295919,True,,COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1,Positive,Clopidogrel
11,Diverse DILI C,Heterogenous Data ,0.004076739204494991,"Transient liver function abnormalities, adverse hepatic effects",0.5837677927959811,True,,COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1,Positive,Clopidogrel
15,Mitotox,Mechanisms of Liver Toxicity,0.007112846092270168,Mitotox ,0.24315271766702637,False,,COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1,Positive,Clopidogrel
5,Animal hepatotoxicity A,Animal hepatotoxicity,-0.00020640939358863907,"Rat, chronic oral administration, Hepatic histopathologic effects, ToxRefDB",0.8343367941979252,True,,COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1,Negative,Clopidogrel
14,BESP,Mechanisms of Liver Toxicity,-0.00010906296578245312,BESP Bile Salt Export Pump Inhibition,0.8505066137566141,True,,COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1,Negative,Clopidogrel
16,Reactive Metabolite,Mechanisms of Liver Toxicity,-0.0007229073415052535,Reactive Metabolite Formation,0.23570429962672382,False,,COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1,Negative,Clopidogrel
7,Preclinical hepatotoxicity,Animal hepatotoxicity,0.0020112386379957385,"Preclinical hepatotoxicity data from PharmaPendium, Leadscopre, and internal repository with 14- to 28-day rat study data",0.6276236772486783,True,,CC(=O)OC12COC1CC(O)C1(C)C(=O)C(=O)C3C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C,Positive,Docetaxel
14,BESP,Mechanisms of Liver Toxicity,0.0005212970649313798,BESP Bile Salt Export Pump Inhibition,0.6246164021164023,True,,CC(=O)OC12COC1CC(O)C1(C)C(=O)C(=O)C3C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C,Positive,Docetaxel
15,Mitotox,Mechanisms of Liver Toxicity,0.007986330796229969,Mitotox ,0.5224896806075109,True,,CC(=O)OC12COC1CC(O)C1(C)C(=O)C(=O)C3C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C,Positive,Docetaxel
16,Reactive Metabolite,Mechanisms of Liver Toxicity,0.001867132656000148,Reactive Metabolite Formation,0.046118995958333533,False,,CC(=O)OC12COC1CC(O)C1(C)C(=O)C(=O)C3C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C,Positive,Docetaxel
